Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
122,=,Imogen Heap - Headlock,121,63,,1385150,"-53,560",10076033,"-57,914",191080967
123,-18,Gorillaz - Feel Good Inc,154,94,,1381081,"-148,709",8027061,"+229,905",213492680
124,+23,Keane - Somewhere Only We Know,873,63,,1374003,"+9,983",9750054,"+10,921",1139147779
125,-7,Tom Odell - Another Love,1478,11,,1362264,"-101,304",10129610,"-107,026",2561213352
126,-2,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",185,17,,1358632,"-77,103",6721344,"+147,433",379126220
127,RE,Danilo e Davi - Apaga Apaga Apaga - Ao Vivo,2,127,,1356604,,2680088,"+1,356,604",2680088
128,+32,Coldplay - A Sky Full of Stars,947,10,,1354947,"+36,521",7864165,"+125,136",656253300
129,+32,Katy Perry - Last Friday Night (T.G.I.F.),25,111,,1351097,"+33,449",9098908,"+74,806",31413888
130,-7,Charli xcx - Guess featuring billie eilish (w/ Billie Eilish),266,3,(x1),1349550,"-88,557",9614136,"-92,181",574637487
131,+28,The Weeknd - Die For You,1218,9,,1339880,"+15,680",9170063,"+55,115",2160122893
132,-3,Coldplay - The Scientist,659,79,,1337609,"-69,561",9835711,"+21,435",461012728
133,-2,Arctic Monkeys - No. 1 Party Anthem,174,70,,1336533,"-63,917",9999929,"-39,948",272809430
134,+9,Hozier - Take Me To Church,2015,1,(x30),1331826,"-38,327",9428494,"+61,795",1895432876
135,-15,Linkin Park - Numb,415,12,,1329151,"-127,706",9791812,"-11,926",619661697
136,-6,Taylor Swift - Cruel Summer,817,2,(x18),1328978,"-72,440",9700959,"-47,611",2427511358
137,+20,Teddy Swims - The Door,232,88,,1327778,"-4,089",8919854,"+21,554",321339579
138,+12,Bruno Mars - Just the Way You Are,897,27,,1325455,"-24,514",11164270,"-375,698",1247463970
139,-5,Don Toliver - No Pole,172,58,,1322436,"-63,506",9256210,"+40,921",277256256
140,+18,One Direction - Night Changes,1116,6,,1321981,"-9,728",9853274,"-47,398",1384412238
141,RE,Diego & Victor Hugo - Tubarões - Ao Vivo,18,116,,1321043,,2539286,"+12,068",22834434
142,+13,Harry Styles - As It Was,1120,1,(x81),1319486,"-19,383",9155053,"+15,228",3791874397
143,+6,Danny Ocean - Imagínate (w/ Kapo),128,37,,1318514,"-32,216",8835026,"-34,859",205721443
144,-33,Morgan Wallen - I Ain't Comin' Back (w/ Post Malone),16,18,,1316331,"-181,004",9440766,"-82,433",25048316
145,-47,Benson Boone - Mystical Magical,9,40,,1311543,"-268,647",10442670,"-175,884",14218956
