Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
131,-16,Clave Especial,TU TU TU,Edgardo Nuñez,11,104,,1339402,+32,9014224,"+38,615",14150782
132,=,Macklemore & Ryan Lewis,Can't Hold Us,"Macklemore, Ryan Lewis, Ray Dalton",992,57,,1337075,"+48,446",9380950,"-34,274",1245817661
133,-14,Taylor Swift,Cruel Summer,,806,2,18,1335039,"+16,695",9423964,"-123,434",2412383955
134,+24,Danny Ocean,Imagínate,Kapo,117,37,,1330875,"+107,344",8680452,"+17,016",191562138
135,+8,The Walters,I Love You So,,1065,18,,1328661,"+67,149",8654304,"+39,665",1519389760
136,+6,Feid,LUNA,ATL Jacob,505,7,,1328332,"+64,267",8911611,"-29,213",1233725687
137,+8,Natasha Bedingfield,Unwritten,,367,14,,1323586,"+68,279",9272426,"-2,203",682394815
138,-9,Tito Double P,DOS DÍAS,Peso Pluma,235,24,,1322625,"+25,397",8828389,"+1,322,625",459368906
139,-6,Hozier,Take Me To Church,,2004,1,30,1320949,"+33,790",9028787,"+33,132",1880497335
140,+1,Sachet-Parampara,"Raanjhan (From ""Do Patti"")","Parampara Tandon, Kausar Munir",34,81,,1320103,"+54,400",9513809,"-240,790",47768661
141,+15,Lana Del Rey,Summertime Sadness,,849,74,,1306984,"+79,782",8609231,"-95,846",1108277716
142,-4,Afusic,Pal Pal,AliSoomroMusic,7,128,,1305929,"+28,424",8720757,"+1,305,929",8720757
143,-4,Bruno Mars,That's What I Like,,990,5,,1305268,"+32,271",8997833,"-115,438",1375876922
144,-13,Xavi,En Privado,Manuel Turizo,34,77,,1301115,"+7,118",9188340,"-198,288",48756399
145,+5,Doechii,DENIAL IS A RIVER,,110,16,,1299204,"+62,614",8954290,"-74,703",249861976
146,+1,Kendrick Lamar,Money Trees,Jay Rock,469,31,,1297602,"+50,767",8788658,"+3,768",599369915
147,+17,Linkin Park,In the End,,683,8,,1295301,"+99,113",8694700,"-55,426",895313899
148,-22,Don Toliver,No Pole,,161,58,,1289596,"-13,875",9301039,"-137,957",262612101
149,+30,Tyla,PUSH 2 START,,93,52,,1288967,"+127,965",7205355,"+36,054",148902172
150,+2,Teddy Swims,The Door,,221,88,,1287617,"+54,291",8905233,"-80,275",307148822
151,+8,The Killers,Mr. Brightside,,1351,59,,1282318,"+65,657",8825960,"-21,979",1127918724
152,-22,Malcolm Todd,Chest Pain (I Love),,22,53,,1281049,"-16,061",9544337,"-265,422",33377314
153,-7,Lady Gaga,Just Dance,Colby O'Donis,11,128,,1273760,"+20,314",8707399,"-122,966",13699907
154,=,Journey,Don't Stop Believin' (2022 Remaster),,335,61,,1264374,"+33,357",8961643,"+7,405",500996429
155,-15,Harry Styles,As It Was,,1109,1,81,1263802,"-7,746",8548578,"+31,543",3777523521
156,RE,Addison Rae,Headphones On,,4,149,,1263725,,4863919,"+1,263,725",4863919
157,-20,Oscar Maydon,Tu Boda,Fuerza Regida,203,4,,1260543,"-18,451",8909286,"-14,414",554493732
158,+20,Frank Ocean,Pink + White,,707,52,,1255991,"+94,035",8216476,"+62,649",1019690476
159,+14,Fourtwnty,Mangu,Charita Utami,3,136,,1255855,"+80,820",3620688,"+1,255,855",3620688
160,-36,V,Winter Ahead,Park Hyo Shin,145,15,,1251141,"-55,785",8791414,"-17,915",263082212
161,+5,Benson Boone,Slow It Down,,340,26,,1249244,"+57,075",7527089,"-181,945",668472814
162,+3,d4vd,Here With Me,,500,13,,1248143,"+54,630",2441656,"+24,486",901931593
163,-3,Nirvana,Smells Like Teen Spirit - Remastered,,398,98,,1247490,"+33,478",8721635,"-121,491",377782378
164,-9,Fuerza Regida,COQUETA,Grupo Frontera,4,155,,1246514,"+18,744",4752315,"+1,246,514",4752315
165,-2,Rihanna,Breakin' Dishes,,117,85,,1243669,"+42,716",8661257,"-36,283",174561905
166,+2,Chezile,Beanie,,145,53,,1237069,"+56,355",2417783,"-3,782",228611449
167,+20,Gorillaz,Feel Good Inc,,144,94,,1235911,"+86,644",8314830,"-31,488",200548750
168,-11,Chase Atlantic,Swim,,199,46,,1230636,"+4,986",8747793,"-125,246",291315956
169,-21,Earl Agustin,Tibok,,40,42,,1230076,"-16,685",7465620,"-193,318",65896010
170,-9,Katy Perry,Last Friday Night (T.G.I.F.),,14,142,,1229076,"+21,617",8454608,"-19,332",17196515
171,+21,Evanescence,Bring Me To Life,,20,123,,1227225,"+90,646",5923554,"-16,860",25149868
172,-19,Tito Double P,ROSONES,,138,16,,1226549,"-6,353",8688775,"-72,892",299144406
173,RE,Benson Boone,In The Stars,,212,49,,1223757,,4992242,"-83,893",244180280
174,-4,Sabrina Carpenter,Bed Chem,,241,9,,1222579,"+46,929",8463743,"-97,095",541945030
175,RE,James Arthur,Say You Won't Let Go,,2438,6,,1220919,,1220919,"+1,220,919",2538017004
176,-5,Raim Laode,Komang,,96,44,,1217186,"+41,683",6010611,"-50,880",124846032
177,-15,Lady Gaga,Bad Romance,,11,118,,1209691,"+7,486",8775367,"-226,062",13077558
178,-4,Playboi Carti,RATHER LIE,The Weeknd,40,3,1,1200768,"+25,949",8611231,"-209,446",101233068
179,+1,Maroon 5,Payphone,Wiz Khalifa,422,63,,1199976,"+40,270",5844275,"-54,387",392697492
180,+4,The Chainsmokers,Closer,Halsey,1544,1,82,1197792,"+43,723",4549609,"-57,752",1937410292
181,+2,BigXthaPlug,All The Way,Bailey Zimmerman,19,69,,1197523,"+41,911",8597722,"-11,524",24716269
182,+3,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,Swae Lee,2204,1,16,1196968,"+43,545",6994194,"+1,196,968",3486845608
183,RE,SZA,Saturn,,343,12,,1195503,,1195503,"+1,195,503",711407450
184,-33,Coldplay,A Sky Full of Stars,,937,10,,1195231,"-39,216",8747395,"-152,432",643345138
185,-13,Travis Scott,FE!N,,574,3,1,1192839,"+17,569",6882042,"+1,192,839",1190684710
186,+14,DJ Snake,Let Me Love You,Justin Bieber,516,2,7,1187754,"+61,969",3462120,"-58,301",898940699
187,-18,Billie Eilish,lovely,Khalid,2531,19,,1185231,"+7,500",8200647,"-54,214",3157588388
188,=,Morgan Wallen,Just In Case,,33,83,,1184162,"+35,430",8994544,"-176,766",46354642
189,=,Twenty One Pilots,Stressed Out,,891,5,,1181683,"+32,968",6951223,"-13,316",893496759
190,-14,Sabrina Carpenter,Juno,,214,22,,1177286,"+7,739",7347142,"-133,484",349133616
191,-5,Neton Vega,Chiquita,Tito Double P,15,164,,1174889,"+24,648",5698392,"-115,143",17809025
192,+2,Arctic Monkeys,Do I Wanna Know?,,1337,69,,1172169,"+35,908",4674844,"-41,120",1103102746
193,+3,Coldplay,Sparks,,246,82,,1171649,"+38,705",6960719,"-75,117",311161092
194,RE,Alex Warren,Carry You Home,,81,85,,1170797,,4785717,"-20,072",109451242
195,-28,Tito Double P,NADIE,,152,32,,1170340,"-14,090",8480168,"-98,671",294151668
196,-15,Lana Del Rey,Young And Beautiful,,87,120,,1169765,"+11,566",7001756,"-64,882",104345558
197,-7,Tears For Fears,Everybody Wants To Rule The World,,776,80,,1169466,"+28,587",6983520,"+1,169,466",967693858
198,RE,Mitski,My Love Mine All Mine,,546,2,4,1166031,,2244368,"+1,166,031",1411762587
199,RE,Myles Smith,Stargazing,,287,14,,1165740,,4728020,"-22,504",663934455
200,RE,Lewis Capaldi,Someone You Loved,,2220,4,,1164912,,1164912,"+1,164,912",3693855110
